species;new_taxonomy;abr
Leptodactylus diptyx;Adenomera diptyx;dyptix
Boana albopunctata;NA;albo
Boana geographica;NA;geo
Boana punctata;NA;punc
Boana raniceps;NA;rani
Dendropsophus jimi;NA;jimi
Dendropsophus minutus;NA;minu
Dendropsophus nanus;NA;nanus
Dendropsophus sanborni ;NA;sanb
Elachistocleis bicolor;NA;bicolor
Elachistocleis matogrosso;NA;mato
Leptodactylus bufonius;NA;bufo
Leptodactylus chaquensis;Leptodactylus macrosternum;macro
Leptodactylus elenae;NA;ele
Leptodactylus furnarius;NA;furna
Leptodactylus fuscus;NA;fuscus
Leptodactylus labyrinthicus;NA;laby
Leptodactylus latrans;NA;latrans
Leptodactylus podicipinus;NA;podi
Lysapsus limellum;NA;lime
Phyllomedusa sauvagii;NA;sauva
Physalaemus albonotatus;NA;albon
Physalaemus biligonigerus;NA;bili
Physalaemus cuvieri;NA;cuvi
Physalaemus nattereri;NA;natte
Phyllomedusa azurea;Pithecopus azureus;azureus
Pristimantis dundeei;NA;dund
Pseudis platensis;NA;pseudis
Pseudopaludicola motorzinho;NA;motor
Rhinella bergi;NA;bergi
Rhinella schneideri;Rhinella diptycha;dipt
Rhinella major;NA;major
Scinax acuminatus;NA;acu
Scinax constrictus;NA;const
Scinax fuscomarginatus;NA;fuscoma
Scinax fuscovarius;NA;fuscov
Scinax nasicus;NA;nasicus
Scinax squalirostris;NA;squa
Trachycephalus typhonius;NA;typho
